place,title,link,published,source,domain
New York NY,"SHEILA CANBY Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMiiwFBVV95cUxNM2h6bVhpQVRTSDZFR0ROajRmd0phcXpJRFBXS1dLOUNPY3FXTnA1eFZXQWVKdWNMX3NuUHBpUFpTMkpPZ0t1ZGZNdXNDUFlEeU9IYkFKaXZ1aWw5QURyZ0MzRDFOZnl5bW5NVElWaTBrVXZIUHBCTTlBOXo0NGsxSk14d0c5SkhZSXNZ?oc=5,"Sun, 31 Aug 2025 12:10:36 GMT",Legacy.com,news.google.com
New York NY,"KAREN ERICKSON Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMijgFBVV95cUxQdlZFRTdfbHp5bFVfektKT2hKd2tNNXRoamxDSU1nZTNXRXhCR0JSRTAtVTNuUjByMUhkU2J0UVp5blJkVjlSbExfUktQTXRUdkZlTUh4dmVSTS10aUpzS3N1elBtU0ZpcGhicUI2MUJGNms2cG8zT2daTXNFQ29qQkNkSnVTNVo0SXVqaUpB?oc=5,"Sun, 31 Aug 2025 10:48:13 GMT",Legacy.com,news.google.com
New York NY,"SUZANNE JOHNSTON Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMikAFBVV95cUxQMy1ra2VxajFxQWNDcjJzUXZOdTZCY3lNbW5sVWxxVXN2N2dTYTVfLXdONFFBZGxiWU54WjNxODBfVllJVWhoLWpISVNCbnBaUU1rTEhFSlhWSmVUblVVc0xoWWM5NGN2V2VOSnIxbWFXOG0xRkdEZnRMcGd1ZTgySEhOLW9KWFphalBIWk42eE0?oc=5,"Sun, 31 Aug 2025 11:24:06 GMT",Legacy.com,news.google.com
New York NY,"SARA SILBIGER Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMijAFBVV95cUxOek5HYXFjdlRiNkVqRkhyUllMaFlLQWdlYV9lR0RPdTlzbmhaS01oakNtdXRnNjRWbndGQzdPcU5tRG90bDBYUDFfRlVjcjFKbjk5LUFaU2FyWW9PUFIwaVJPenF2VkFkeDRkWnRzSGNPWW5ZZEY0bHZIcFY1OVBTZnQ5QmhFOUpadlBIRw?oc=5,"Sun, 31 Aug 2025 08:29:28 GMT",Legacy.com,news.google.com
New York NY,"KENT PATTERSON Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMijgFBVV95cUxPNVdLbDk1MVZ5b2ktWkVHNTlOb2IwRlJUZHBNa2VYN0JzdGJ1MUJ3bnBlN052T1V4NjFZdjVQVzBPX005WHo2d01Eb29NeUY5US1EOS1kVW9ucEdEdTdxdk04WndPaDl3TmphNkNqaGtMMWNxWFJpVkdndVVfd2I0QnFOSlQ4cUlOWVRXR3FR?oc=5,"Sun, 31 Aug 2025 05:45:05 GMT",Legacy.com,news.google.com
New York NY,"DOLORES SEILER Obituary (1931 - 2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMijgFBVV95cUxNOUtZZHVlbEd3cVpCUE90LW5hTUdJdl9YbzNNUkJwUE44SU1ZNVlXUUhVeFpGRTZVSHpKWmxJYVQ3VEd3dlhkSEFULWx6RnB5bDRBdk5POXlkX2dROGpmRk9pcGhNWHFhOVdhSnBrV0R1R2FtQ0NGR2l6ODNGMll5c041RkhNN2dHaEpzMFVR?oc=5,"Sun, 31 Aug 2025 06:27:44 GMT",Legacy.com,news.google.com
New York NY,"FRANK SCHWITTER Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMijwFBVV95cUxQN0hnNTVVcWV1cDFtYWt1cXpWMEZXX1NxbUxuVHRXNkdlZ3lEcGUzVm5DNmNydHpZOFM4d3AzVlRaSll4aFlIcXFUdVZwREd0ZTVEOTQ4bWFnV2htZjNsVC1JcXN6MFZ4eE94bThRUWE1dkpPd09pUUpFaWlPbm94WnVzMUxxOVM5NVpSVW9VUQ?oc=5,"Sun, 31 Aug 2025 06:44:00 GMT",Legacy.com,news.google.com
New York NY,"RAJIV KHANNA Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMiiwFBVV95cUxNRy1wQTFIc29vMldrVFJBWnRBR1VWbl9GcW5jX2UwU2syOUtyenBsb3R2Nzc2TEJhcGd1RnZnV3hwZ1lqSWxrMTBLM2N5RnRRVm40V2kydjRXZXE1WXpsMmdxSUhmMWEzQ3l3OFNfWUhZQzJsVE9PdWFyck5QazV2V2hpMkZJRmJvbnlF?oc=5,"Sun, 31 Aug 2025 08:28:49 GMT",Legacy.com,news.google.com
New York NY,Ultimate Knicks Cult Hero Retires From Basketball - Heavy Sports,https://news.google.com/rss/articles/CBMimwFBVV95cUxQeUlmVGxwZ05rMG9RRVlvRWIwakl2MU01cEt0ZUVaclI1NzFWQlpnOXlWczVTNGotQWd3cC1kbXYySExNMTMwQ3dfREJQb2ItMGhzN2VOeHRaeEdRY00tTHJndERTWmNHSkVUSEZYOTUzTXNTVWVOdmxqSVhlak5yTjV2YzllMzRsaUMycHk1RU9CczZyb2JSaklJSQ?oc=5,"Sun, 31 Aug 2025 14:31:16 GMT",Heavy Sports,news.google.com
New York NY,"DAVID LEE Obituary (2025) - New York, NY - New York Times - Legacy.com",https://news.google.com/rss/articles/CBMihwFBVV95cUxQQTJtOHJPTjQ1Q1lZNGRld1NySVpLc0g1R2JQOUk5WDlxTDg4Y0VFbFBPUnJPamRUSm5BLXBvZXJaNDlIVE90TDBwa05FWnBwdENMTXNVeFU3RDZCanZvX2NPUXFGZ1g0SlFmb3BTbnRFdnFNaUp6MEZPN1hsQ2w0SHZXcElVcE0?oc=5,"Sun, 31 Aug 2025 05:17:11 GMT",Legacy.com,news.google.com
New York NY,"Former NBA star, Asian American trailblazer Jeremy Lin retires - Chico Enterprise-Record",https://news.google.com/rss/articles/CBMingFBVV95cUxNZ1J0bUhvQkEwRlR5SUR6Rm5CQTJxOVI0YW1Kbk9GN25QS2VjdHI5SzVnTzdvMUlXZGhoUU81aS1QX1ZiQmJZa1dvV0FDMmlneE0tbE54U3ctU0dwWjFfcUdWWmY5MVRuaDgzaHc3UlNxXzN4RkdTRmFQSWd5X3BmWDhQQ1lqb2F2TFFHMHQ2X0FrZ0dZWmh2dXNnZEN1Zw?oc=5,"Sun, 31 Aug 2025 12:03:47 GMT",Chico Enterprise-Record,news.google.com
New York NY,NY Social Security Benefits See Potential Ups And Downs - NewsBreak: Local News & Alerts,https://news.google.com/rss/articles/CBMitgFBVV95cUxNdTFSRS0wdVFiNFI2MlhmeDkwSFRicm5JS2JsYV9MVWM2UWdoVld0N1RabXRqYXctM3hlMFFKZTBVdFNrTUg0ZExubGx6a1N2aC1tT1c5Q3BpVHZuTnJlaDVmaWd1ZS1ycWtpVkFSSWRVZFV0QkYwd1RpczlVdjBPT00wSXRadEkzWXpEUHZPS1pEU1c4RGJxQmZKOTlWV3JsRDBiMjgxZnlyMTV3b2VqejNza1RZUQ?oc=5,"Sun, 31 Aug 2025 17:32:30 GMT",NewsBreak: Local News & Alerts,news.google.com
New York NY,"New York Sending Homeowners Up to $1,500 in September - NewsBreak: Local News & Alerts",https://news.google.com/rss/articles/CBMiuwFBVV95cUxQaVJvQnZEeWlSMjM3ZldhOUpqcGI1M0d0di1VNG1lV1FOTGE4cU9Jcmd3UmtsOGtRUFdnM040WDMzQy05VlhmbEdIQXFYc3FyVDdMWGR5TmNESUxuamdHWjlBdjFjcHhOTDJFTWRXaHVTSjZYd0tWZ0c0TFJvaFVueENuaTFyLXpYa3g1QWNSbUVsQnV4cnhJVUhMQVFidVMxV2dUanJpM3QxT3JKbDhDVkZCY0tXdVZHbGJN?oc=5,"Sun, 31 Aug 2025 21:20:10 GMT",NewsBreak: Local News & Alerts,news.google.com
